romdasSpikes,calcSpikes,iri,meanY,sdY,meanX,sdX,meanZ,sdZ,romLog,iroadLog,,,
1332,1,4.09,9.80058829,0.030791285,-7.81E-19,0.030791285,-0.002101672,0.030791285,3.124504225,0,,,
1335,18,4.1,9.800014016,0.066052368,4.00E-19,0.066052368,0.001614844,0.066052368,3.125481266,1.255272505,,,
1347,25,4.11,9.799732221,0.077961121,-2.93E-19,0.077961121,0.000515947,0.077961121,3.129367596,1.397940009,,,
1349,12,4.13,9.797748396,0.053774303,4.27E-10,0.053774303,-1.30E-09,0.053774303,3.13001195,1.079181246,,,
1356,27,4.12,9.798179019,0.077853083,-2.85E-19,0.077853083,0.004009603,0.077853083,3.13225969,1.431363764,,,
1356,37,4.12,9.799075216,0.070192064,3.08E-11,0.070192064,2.97E-10,0.070192064,3.13225969,1.568201724,,,
1360,23,4.12,9.799516536,0.060861327,-1.33E-19,0.060861327,0.00131384,0.060861327,3.133538908,1.361727836,,,
1369,23,4.14,9.797513119,0.063526606,-1.69E-19,0.063526606,0.004667667,0.063526606,3.136403448,1.361727836,,,
1370,6,4.13,9.781995606,0.085238993,-2.16E-18,0.085238993,0.003219881,0.085238993,3.136720567,0.77815125,,,
1370,42,4.37,9.804371114,0.093870719,-5.62E-12,0.093870719,1.34E-10,0.093870719,3.136720567,1.62324929,,,
1372,45,4.14,9.799838706,0.078070863,-2.84E-19,0.078070863,-0.003279985,0.078070863,3.137354111,1.653212514,,,
1373,13,4.14,9.797447529,0.055594378,-3.31E-19,0.055594378,-0.002398953,0.055594378,3.137670537,1.113943352,,,
1374,36,4.15,9.797701567,0.11809418,6.92E-20,0.11809418,0.009546902,0.11809418,3.137986733,1.556302501,,,
1374,23,4.14,9.801155822,0.056717073,-3.99E-19,0.056717073,-0.001077218,0.056717073,3.137986733,1.361727836,,,
1380,26,4.15,9.796002394,0.078726871,8.42E-20,0.078726871,0.005978579,0.078726871,3.139879086,1.414973348,,,
1380,30,4.15,9.802171843,0.081437748,3.63E-10,0.081437748,-3.04E-10,0.081437748,3.139879086,1.477121255,,,
1380,11,4.15,9.799671651,0.051402527,-1.55E-19,0.051402527,0.007009128,0.051402527,3.139879086,1.041392685,,,
1383,26,4.15,9.798388292,0.124656054,1.04E-19,0.124656054,-0.001252579,0.124656054,3.14082218,1.414973348,,,
1385,21,4.15,9.797634087,0.05917126,-2.35E-10,0.05917126,-4.44E-10,0.05917126,3.141449773,1.322219295,,,
1386,26,4.16,9.799700203,0.077713832,-2.79E-19,0.077713832,0.006135853,0.077713832,3.14176323,1.414973348,,,
